,age,hrswork1,uhrswork,incwage,ran,wageW,LwageW,educ
1-1,29,40,40,10005,1.193827484,192.4038462,5.259596528,15
2-1,22,0,12,1205,0.545725226,25.10416667,3.223033835,16
3-1,36,40,40,6605,0.714263879,183.4722222,5.212063279,14
4-1,24,40,38,11205,0.868020114,215.4807692,5.372871668,12
5-1,20,40,40,53005,1.194103155,1019.326923,6.926897809,12
6-1,23,0,37,1505,1.514199656,53.75,3.984343667,12
7-1,37,18,20,3505,1.889104489,70.1,4.249922794,10
8-1,19,40,40,6765,1.547786873,130.0961538,4.868273822,12
9-1,33,40,40,6275,1.194589771,120.6730769,4.793085045,12
10-1,37,40,40,9265,1.029805746,178.1730769,5.18275542,12
11-1,24,40,40,10005,0.000699423,192.4038462,5.259596528,12
12-1,28,40,40,1765,0.71508158,35.3,3.563882964,20
13-1,39,24,20,2615,0.000895001,67.05128205,4.20545773,16
14-1,25,40,40,2755,0.000985339,119.7826087,4.785678506,12
15-1,51,40,40,14005,0.547261909,269.3269231,5.595925969,12
16-1,39,40,12,605,1.514859498,30.25,3.409496184,12
17-1,27,25,25,2005,1.548860222,100.25,4.607667066,12
18-1,32,40,40,11965,0.922281295,230.0961538,5.438497282,12
19-1,61,7,35,3005,1.110420097,75.125,4.319153393,12
20-1,32,8,20,2105,1.73513405,105.25,4.656338473,12
21-1,49,35,35,9005,0.715577975,173.1730769,5.154291539,10
22-1,31,36,36,4505,1.463187858,86.63461538,4.461699451,7
23-1,31,0,40,1905,1.89012289,158.75,5.067330638,6
24-1,54,32,8,4505,0.922889449,90.1,4.500920165,10
25-1,40,46,46,16505,1.549817156,330.1,5.799395639,17
26-1,23,30,30,5205,0.00167219,100.0961538,4.606131262,16
27-1,45,40,40,12865,1.463390421,247.4038462,5.511022006,13
28-1,21,72,40,4005,1.196207013,250.3125,5.522710137,11
29-1,19,30,20,1205,1.550200861,40.16666667,3.693037464,12
30-1,44,30,30,4005,0.71636308,78.52941176,4.363473227,12
31-1,30,34,50,22005,1.610273961,511.744186,6.237824864,16
32-1,32,38,38,12005,0.871282071,230.8653846,5.44183479,12
33-1,32,23,24,6805,1.957690809,200.1470588,5.29905239,20
34-1,37,77,77,7805,0.716639217,150.0961538,5.011276114,7
35-1,23,40,50,7805,0.92413649,185.8333333,5.224850215,14
36-1,49,40,40,13405,0.002536923,257.7884615,5.552139332,12
37-1,45,40,40,4005,0.965905841,89,4.48863637,12
38-1,60,10,10,2085,0.716804992,40.09615385,3.691280416,12
39-1,47,45,45,4505,0.421142206,100.1111111,4.60628068,8
40-1,19,40,40,3605,0.716929324,75.10416667,4.318876039,12
41-1,56,23,32,3465,0.871645287,84.51219512,4.436895845,10
42-1,46,0,35,7005,1.551479567,175.125,5.165500005,8
43-1,20,0,16,4685,0.003294554,90.09615385,4.500877476,10
44-1,24,33,40,7005,1.551771536,149.0425532,5.004231857,12
45-1,21,0,40,4205,0.421605073,100.1190476,4.606359954,12
46-1,33,40,40,11405,0.717361923,219.3269231,5.390563416,14
47-1,31,40,40,5005,0.004078262,96.25,4.566948973,16
48-1,45,8,7,7005,0.926011708,134.7115385,4.90313574,11
49-1,46,40,40,15005,0.550235622,288.5576923,5.664895039,12
50-1,48,35,35,22365,1.795427874,430.0961538,6.064008797,18
51-1,27,40,48,8505,0.004266854,170.1,5.136386499,12
52-1,19,4,30,985,0.717891846,123.125,4.813200099,12
53-1,28,40,42,18205,0.51800441,350.0961538,5.858207842,15
54-1,31,35,25,1005,1.517689321,50.25,3.917010547,15
55-1,38,35,35,6005,0.926343724,115.4807692,4.749104016,12
56-1,19,0,32,3645,0.004596077,70.09615385,4.249867926,11
57-1,35,40,40,5545,1.12956902,138.625,4.931772446,14
58-1,18,40,40,2005,0.550989993,83.54166667,4.425345509,8
59-1,48,45,45,14305,1.553870272,275.0961538,5.617120687,16
60-1,51,30,30,4005,0.004931353,77.01923077,4.344055141,16
61-1,21,0,40,1005,1.55391125,91.36363636,4.514847548,12
62-1,34,30,25,3005,1.1990075,75.125,4.319153393,12
63-1,22,12,16,1105,0.551352743,26.30952381,3.269930996,16
64-1,19,0,40,6605,1.199202146,150.1136364,5.011392583,12
65-1,43,37,40,8005,1.19921146,153.9423077,5.036577907,12
