"","respondent_ID","EE_highest","invest_EE","EE_combi_washdryer","EE_washingmachine","EE_dryer","EE_dishwasher","EE_combifridge_freezer","EE_fridge_integrated_freezer","EE_fridge_no_integrated_freezer","EE_chestfreezer","EE_standingfreezer","postnummer","income","age","know_el","house_type","house_type.1","house_size","year_built","persons0.5","persons6.10","persons11.15","persons16.18","persons18.30","persons31.50","persons51.65","persons65","geoms","job_index_resp","job_index_spouse","qty_inhabitants","light_score","EE_index"
"A1","A1",0,0,NA,NA,NA,"A","A",NA,NA,NA,NA,2700,4,"3",1,1,"apt",1,3,0,0,0,0,0,1,0,0,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>12.578166,55.670644,0.0 12.558041,55.681998,0.0 12.570393,55.691387,0.0 12.597983,55.689593,0.0 12.600204,55.693215,0.0 12.59771,55.682543,0.0 12.578166,55.670644,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>12.611479,55.68809,0.0 12.61123,55.690619,0.0 12.608282,55.690898,0.0 12.610477,55.698115,0.0 12.621102,55.698529,0.0 12.619481,55.693817,0.0 12.627449,55.692446,0.0 12.626615,55.690697,0.0 12.614564,55.689207,0.0 12.614098,55.687821,0.0 12.621583,55.688481,0.0 12.619959,55.688071,0.0 12.609561,55.673924,0.0 12.589729,55.667905,0.0 12.582108,55.669513,0.0 12.606664,55.682823,0.0 12.60614,55.689284,0.0 12.611479,55.68809,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",9,0,1,0,0.8
"A2","A2",0,0,NA,NA,NA,NA,"No_label",NA,NA,NA,NA,2400,3,"2",0,1,"apt",1,2,0,0,0,0,0,1,0,0,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>12.578166,55.670644,0.0 12.558041,55.681998,0.0 12.570393,55.691387,0.0 12.597983,55.689593,0.0 12.600204,55.693215,0.0 12.59771,55.682543,0.0 12.578166,55.670644,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>12.611479,55.68809,0.0 12.61123,55.690619,0.0 12.608282,55.690898,0.0 12.610477,55.698115,0.0 12.621102,55.698529,0.0 12.619481,55.693817,0.0 12.627449,55.692446,0.0 12.626615,55.690697,0.0 12.614564,55.689207,0.0 12.614098,55.687821,0.0 12.621583,55.688481,0.0 12.619959,55.688071,0.0 12.609561,55.673924,0.0 12.589729,55.667905,0.0 12.582108,55.669513,0.0 12.606664,55.682823,0.0 12.60614,55.689284,0.0 12.611479,55.68809,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",2,0,1,1,0.3
"A3","A3",0,1,NA,NA,NA,NA,"A+",NA,NA,NA,NA,4000,2,"5",1,1,"apt",1,4,0,0,0,0,0,0,1,0,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>12.578166,55.670644,0.0 12.558041,55.681998,0.0 12.570393,55.691387,0.0 12.597983,55.689593,0.0 12.600204,55.693215,0.0 12.59771,55.682543,0.0 12.578166,55.670644,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>12.611479,55.68809,0.0 12.61123,55.690619,0.0 12.608282,55.690898,0.0 12.610477,55.698115,0.0 12.621102,55.698529,0.0 12.619481,55.693817,0.0 12.627449,55.692446,0.0 12.626615,55.690697,0.0 12.614564,55.689207,0.0 12.614098,55.687821,0.0 12.621583,55.688481,0.0 12.619959,55.688071,0.0 12.609561,55.673924,0.0 12.589729,55.667905,0.0 12.582108,55.669513,0.0 12.606664,55.682823,0.0 12.60614,55.689284,0.0 12.611479,55.68809,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",10,0,1,1,0.444444444444444
"A4","A4",0,0,NA,NA,NA,NA,NA,"No_label",NA,NA,NA,8230,3,"2",1,1,"apt",1,4,0,0,0,0,0,1,0,0,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>12.578166,55.670644,0.0 12.558041,55.681998,0.0 12.570393,55.691387,0.0 12.597983,55.689593,0.0 12.600204,55.693215,0.0 12.59771,55.682543,0.0 12.578166,55.670644,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>12.611479,55.68809,0.0 12.61123,55.690619,0.0 12.608282,55.690898,0.0 12.610477,55.698115,0.0 12.621102,55.698529,0.0 12.619481,55.693817,0.0 12.627449,55.692446,0.0 12.626615,55.690697,0.0 12.614564,55.689207,0.0 12.614098,55.687821,0.0 12.621583,55.688481,0.0 12.619959,55.688071,0.0 12.609561,55.673924,0.0 12.589729,55.667905,0.0 12.582108,55.669513,0.0 12.606664,55.682823,0.0 12.60614,55.689284,0.0 12.611479,55.68809,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",2,0,1,1,0.444444444444444
"A5","A5",1,1,NA,NA,NA,NA,NA,"A++",NA,NA,NA,8900,2,"1",1,1,"apt",1,NA,0,0,0,0,1,0,0,0,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>12.578166,55.670644,0.0 12.558041,55.681998,0.0 12.570393,55.691387,0.0 12.597983,55.689593,0.0 12.600204,55.693215,0.0 12.59771,55.682543,0.0 12.578166,55.670644,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>12.611479,55.68809,0.0 12.61123,55.690619,0.0 12.608282,55.690898,0.0 12.610477,55.698115,0.0 12.621102,55.698529,0.0 12.619481,55.693817,0.0 12.627449,55.692446,0.0 12.626615,55.690697,0.0 12.614564,55.689207,0.0 12.614098,55.687821,0.0 12.621583,55.688481,0.0 12.619959,55.688071,0.0 12.609561,55.673924,0.0 12.589729,55.667905,0.0 12.582108,55.669513,0.0 12.606664,55.682823,0.0 12.60614,55.689284,0.0 12.611479,55.68809,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",8,8,1,1,0.444444444444444
"A6","A6",1,0,NA,NA,NA,NA,NA,"No_label",NA,NA,"A++",2300,3,"3",1,1,"apt",1,3,0,0,0,0,0,1,0,0,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>12.578166,55.670644,0.0 12.558041,55.681998,0.0 12.570393,55.691387,0.0 12.597983,55.689593,0.0 12.600204,55.693215,0.0 12.59771,55.682543,0.0 12.578166,55.670644,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>12.611479,55.68809,0.0 12.61123,55.690619,0.0 12.608282,55.690898,0.0 12.610477,55.698115,0.0 12.621102,55.698529,0.0 12.619481,55.693817,0.0 12.627449,55.692446,0.0 12.626615,55.690697,0.0 12.614564,55.689207,0.0 12.614098,55.687821,0.0 12.621583,55.688481,0.0 12.619959,55.688071,0.0 12.609561,55.673924,0.0 12.589729,55.667905,0.0 12.582108,55.669513,0.0 12.606664,55.682823,0.0 12.60614,55.689284,0.0 12.611479,55.68809,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",0,0,1,0.444444444444444,0.333333333333333
"A7","A7",0,0,NA,"A",NA,NA,"A",NA,NA,NA,NA,2500,3,"2",1,1,"apt",1,4,0,0,0,0,0,1,0,0,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>12.578166,55.670644,0.0 12.558041,55.681998,0.0 12.570393,55.691387,0.0 12.597983,55.689593,0.0 12.600204,55.693215,0.0 12.59771,55.682543,0.0 12.578166,55.670644,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>12.611479,55.68809,0.0 12.61123,55.690619,0.0 12.608282,55.690898,0.0 12.610477,55.698115,0.0 12.621102,55.698529,0.0 12.619481,55.693817,0.0 12.627449,55.692446,0.0 12.626615,55.690697,0.0 12.614564,55.689207,0.0 12.614098,55.687821,0.0 12.621583,55.688481,0.0 12.619959,55.688071,0.0 12.609561,55.673924,0.0 12.589729,55.667905,0.0 12.582108,55.669513,0.0 12.606664,55.682823,0.0 12.60614,55.689284,0.0 12.611479,55.68809,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",6,0,1,1,0.153846153846154
"A8","A8",1,1,NA,NA,NA,"A++",NA,NA,NA,NA,NA,2200,1,"1",1,1,"apt",1,4,0,0,0,0,1,0,0,0,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>12.578166,55.670644,0.0 12.558041,55.681998,0.0 12.570393,55.691387,0.0 12.597983,55.689593,0.0 12.600204,55.693215,0.0 12.59771,55.682543,0.0 12.578166,55.670644,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>12.611479,55.68809,0.0 12.61123,55.690619,0.0 12.608282,55.690898,0.0 12.610477,55.698115,0.0 12.621102,55.698529,0.0 12.619481,55.693817,0.0 12.627449,55.692446,0.0 12.626615,55.690697,0.0 12.614564,55.689207,0.0 12.614098,55.687821,0.0 12.621583,55.688481,0.0 12.619959,55.688071,0.0 12.609561,55.673924,0.0 12.589729,55.667905,0.0 12.582108,55.669513,0.0 12.606664,55.682823,0.0 12.60614,55.689284,0.0 12.611479,55.68809,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",0,0,1,1,0.615384615384615
"A9","A9",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8220,1,"1",1,1,"apt",1,NA,0,0,0,0,1,0,0,0,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>12.578166,55.670644,0.0 12.558041,55.681998,0.0 12.570393,55.691387,0.0 12.597983,55.689593,0.0 12.600204,55.693215,0.0 12.59771,55.682543,0.0 12.578166,55.670644,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>12.611479,55.68809,0.0 12.61123,55.690619,0.0 12.608282,55.690898,0.0 12.610477,55.698115,0.0 12.621102,55.698529,0.0 12.619481,55.693817,0.0 12.627449,55.692446,0.0 12.626615,55.690697,0.0 12.614564,55.689207,0.0 12.614098,55.687821,0.0 12.621583,55.688481,0.0 12.619959,55.688071,0.0 12.609561,55.673924,0.0 12.589729,55.667905,0.0 12.582108,55.669513,0.0 12.606664,55.682823,0.0 12.60614,55.689284,0.0 12.611479,55.68809,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",0,0,1,1,0.222222222222222
"A10","A10",0,0,NA,NA,NA,NA,NA,NA,"B",NA,NA,8230,1,"3",1,1,"apt",1,4,0,0,0,0,0,1,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.558198,55.661114,0.0 12.558863,55.664798,0.0 12.532452,55.663712,0.0 12.529944,55.66753,0.0 12.53205,55.668093,0.0 12.55682,55.674614,0.0 12.555453,55.683832,0.0 12.558041,55.681998,0.0 12.578166,55.670644,0.0 12.570128,55.665748,0.0 12.566221,55.661568,0.0 12.564579,55.660465,0.0 12.558198,55.661114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",0,0,1,0.4,0.3
