;P_EL;P_OTHER;Q_EL;Q_OTHER;lP_E;lP_O;lQ_E;lQ_O;hdd_extr;lhdd_x;Ls74;I74;Ls06;I06;I75;I1986;I1978;I:1968;I:1974;I:1967;S1:1973;S1:1974;S1:1977;I:1981;PE_b;PO_b;PEO_TX;lPE_b;lPO_b;lPEO_TX;I2000;Ls86;Ls00;tr67;Dlh;Ls78;I1975;Ls09;I2009;Ls80;I1980;Tr80;I1994;Ls94;DLs74;DLs78;Dlhdd_x;Ls73;Ls79;DLs73;DLs79;VlQ_E;VlQ_O;VlP_E;VlP_O;pdif;dumm1986;Ls73c;Ls79c;dumm1986c;Ls09c;DlP_O;e_pr_cap;Le_pr_cap;LP_Ea;DLP_Ea;DlP_E;DLe_pr_cap;lPet
1966;3.71084E-05;6.82986E-05;129.7247222;284.7665721;-10.20166712;-9.591620646;4.865414684;5.651669799;3583.7058;8.184152684;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1.807792208;0.87106136;0.137647479;0.592106326;-0.138042857;-1.983059359;0;0;0;0;#N/A;0;0;0;0;0;0;0;0;0;#N/A;#N/A;#N/A;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.610046477;0;-0.862745098;-0.745098039;-0.607843137;-0.156862745;#N/A;3067.427832;8.02859465;#N/A;#N/A;#N/A;#N/A;#N/A
1967;3.23298E-05;7.56271E-05;141.155893;283.185665;-10.33952171;-9.489696515;4.949864904;5.646102743;3589.981434;8.18590231;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1.791348601;0.891220707;0.120848708;0.582968744;-0.115163176;-2.113215859;0;0;0;1;0.001749626;0;0;0;0;0;0;0;0;0;0;0;0.001749626;0;0;0;0;#N/A;#N/A;#N/A;#N/A;0.849825194;0;-0.862745098;-0.745098039;-0.607843137;-0.156862745;0.101924131;3061.110107;8.026532909;#N/A;#N/A;-0.137854586;-0.00206174;#N/A
1968;5.58503E-05;7.55963E-05;82.33808259;306.046493;-9.792836027;-9.490103046;4.41083373;5.723737028;3738.654961;8.22648119;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1.906565657;0.893122953;0.105459387;0.645303538;-0.113031022;-2.249429353;0;0;0;-1;0.04057888;0;0;0;0;0;0;0;0;0;0;0;0.04057888;0;0;0;0;#N/A;#N/A;#N/A;#N/A;0.302732981;0;-0.862745098;-0.745098039;-0.607843137;-0.156862745;-0.000406531;3203.752279;8.072077989;0.144752805;#N/A;0.546685682;0.04554508;-3.272844278
1969;6.19388E-05;6.45669E-05;68.89128584;318.6490254;-9.689363526;-9.647808272;4.232529695;5.764090263;3985.07708;8.290311934;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2.051679587;0.882675123;0.100363071;0.718658768;-0.124798071;-2.298960963;0;0;0;0;0.063830744;0;0;0;0;0;0;0;0;0;0;0;0.063830744;0;0;0;0;-0.089627598;0.018683405;0.134455754;-0.071311636;0.041555255;0;-0.862745098;-0.745098039;-0.607843137;-0.156862745;-0.157705226;3699.530444;8.215961184;0.043738745;-0.10101406;0.103472501;0.143883195;-3.454653879
1970;4.90144E-05;6.59813E-05;74.16610412;334.8925542;-9.923396515;-9.626139915;4.306307228;5.813809747;3948.57;8.281108767;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1.88;0.915526758;0.087584848;0.631271777;-0.088255688;-2.435147266;0;0;0;0;-0.009203167;0;0;0;0;0;0;0;0;0;0;0;-0.009203167;0;0;0;0;0.054106913;0.055299378;-0.123389449;-0.038718386;0.297256601;0;-0.862745098;-0.745098039;-0.607843137;-0.156862745;0.021668357;3971.430728;8.286881694;-0.241539131;-0.285277876;-0.234032989;0.07092051;-3.474027803
1971;6.27995E-05;7.41629E-05;67.89847612;327.2122327;-9.675563558;-9.509247168;4.218013591;5.79060899;3479.57;8.154664002;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2.561170213;0.887998474;0.066939647;0.940464268;-0.118785255;-2.703963849;0;0;0;0;-0.126444765;0;0;0;0;0;0;0;0;0;0;0;-0.126444765;0;0;0;0;-0.039454402;0.001825082;0.126211192;0.165882309;0.16631639;0;-0.862745098;-0.745098039;-0.607843137;-0.156862745;0.116892747;3728.538022;8.223771485;0.071742007;0.313281138;0.247832958;-0.063110209;-3.331480373
1972;5.60277E-05;6.07074E-05;66.96499155;317.2971137;-9.789664204;-9.709445777;4.204169969;5.759838602;3663.57;8.206193361;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2.816568047;0.870299958;0.066640379;1.035519139;-0.138917348;-2.708444601;0;0;0;0;0.051529359;0;0;0;0;0;0;0;0;0;0;0;0.051529359;0;0;0;0;0.001217258;-0.023641133;-0.055895805;-0.174683034;0.080218427;0;-0.862745098;-0.745098039;-0.607843137;-0.156862745;-0.20019861;3858.592122;8.258057661;-0.143516387;-0.215258395;-0.114100646;0.034286176;-3.463671712
1973;5.2605E-05;6.56272E-05;71.31843647;301.9576987;-9.852698487;-9.631520206;4.26715487;5.710286937;3579.57;8.18299796;0;0;0;0;0;0;0;0;0;0;1;1;1;0;3.210826211;0.866022099;0.057138206;1.166528291;-0.143844852;-2.862282278;0;0;0;0;-0.0231954;0;0;0;0;0;0;0;0;0;0;0;-0.0231954;1;0;1;0;0.073757828;-0.052166732;-0.081381692;0.118830747;0.221178282;0;0.137254902;-0.745098039;-0.607843137;-0.156862745;0.077925572;3781.757201;8.237944049;-0.182569291;-0.039052904;-0.063034283;-0.020113612;-3.389908503
1974;6.85508E-05;0.000136464;67.93216604;289.6542556;-9.587935645;-8.899451036;4.218509649;5.66868799;3400.59;8.131704225;1;1;0;0;0;0;0;0;1;0;0;1;1;0;5.018518519;0.904608396;0.023187576;1.613134774;-0.10025314;-3.764138659;0;0;0;0;-0.051293735;0;0;0;0;0;0;0;0;0;1;0;-0.051293735;1;0;0;0;0;-2.66454E-15;1.77636E-15;-1.77636E-15;0.688484609;0;0.137254902;-0.745098039;-0.607843137;-0.156862745;0.73206917;3489.606459;8.157544246;0.088518653;0.271087944;0.264762842;-0.080399802;-2.799117189
1975;8.9787E-05;0.000118904;71.03977385;277.8287457;-9.318070426;-9.037192856;4.263239915;5.627004901;3375.19;8.124206898;1;0;0;0;1;0;0;0;0;0;0;0;1;0;5.884615385;0.844695812;0.030814815;1.772341383;-0.168778703;-3.479759704;0;0;0;0;-0.007497327;0;1;0;0;0;0;0;0;0;0;0;-0.007497327;1;0;0;0;-0.044304068;-0.013604653;0.182425762;-0.009104348;0.28087757;0;0.137254902;-0.745098039;-0.607843137;-0.156862745;-0.13774182;3453.207222;8.147058708;0.251372589;0.162853936;0.269865219;-0.010485539;-2.847740316
1976;7.68179E-05;0.000116649;73.27090754;286.3970579;-9.474073504;-9.056342604;4.294163634;5.657379162;3799.94;8.242740556;1;0;0;0;0;0;0;0;0;0;0;0;1;0;5.2125;0.865083072;0.031033814;1.651059587;-0.14492974;-3.472677897;0;0;0;0;0.118533658;0;0;0;0;0;0;0;0;0;0;0;0.118533658;1;0;0;0;-0.013692442;0.00316948;-0.065563327;-0.00376954;0.4177309;0;0.137254902;-0.745098039;-0.607843137;-0.156862745;-0.019149748;3745.561839;8.228326908;-0.013405927;-0.264778516;-0.156003078;0.081268201;-2.871604523
1977;7.2505E-05;0.000112666;78.26276658;291.6147439;-9.53185445;-9.091084969;4.360071967;5.675433561;3663.99;8.206307997;1;0;0;0;0;0;0;0;0;0;0;0;1;0;4.058122206;0.871645712;0.040280946;1.400720356;-0.137372231;-3.211876724;0;0;0;0;-0.03643256;0;0;0;0;0;0;0;0;0;0;0;-0.03643256;1;0;0;0;0.05799651;0.010435173;-0.116862435;0.012873888;0.440769481;0;0.137254902;-0.745098039;-0.607843137;-0.156862745;-0.034742365;3830.10381;8.250647186;-0.032717661;-0.019311733;-0.057780946;0.022320278;-2.86625656
